Attribute,P-value
Status of existing checking account,0.0
Credit history,0.0
Purpose,0.000116
Savings account/bonds,0.0
Present employment since,0.001045
Installment rate in percentage of disposable income,0.140033
Personal status and sex,0.022238
Other debtors / guarantors,0.036056
Present residence since,0.861552
Property,2.9e-05
Other installment plans,0.001629
Housing,0.000112
Number of existing credits at this bank,0.445144
Job,0.596582
Number of people being liable to provide maintenance for,1.0
Telephone,0.278876
foreign worker,0.015831
